Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,51:52.3,---,O,Realty Income,0.049659,57.84,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.5,---,IBM,IBM,0.0175622,163.55,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.5,---,MCD,McDonald's,0.0096853,296.56,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.6,---,CVX,Chevron,0.0192384,149.3,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.7,---,SBUX,Starbucks,0.029941,95.93,USD,1.1047,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.7,---,WMT,Walmart,0.0181802,157.99,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.7,---,JPM,JPMorgan Chase & Co,0.0168453,170.51,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.7,---,BNS,Bank of Nova Scotia,0.058822,48.83,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.8,---,SLB,Schlumberger,0.055109,52.12,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.9,---,CSCO,Cisco Systems,0.057012,50.38,USD,1.10471,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.9,---,LOW,Lowe's,0.0129406,221.96,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.0,---,BMY,Bristol-Myers Squibb,0.056044,51.25,USD,1.10471,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,TROW,T Rowe Price,0.0265486,108.19,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,AAPL,Apple,0.0149016,192.75,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,GOOD,Gladstone Commercial,0.215638,13.32,USD,1.10473,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,PG,Procter & Gamble,0.0195727,146.75,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,TD,Toronto-Dominion Bank,0.044325,64.8,USD,1.10471,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.1,---,AFL,Aflac,0.034807,82.52,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.2,---,MSFT,Microsoft,0.0076486,375.53,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.3,---,STAG,STAG Industrial,0.072753,39.48,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.3,---,CNQ,Canadian Natural Resources,0.043731,65.68,USD,1.10471,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.3,---,RY,Royal Bank of Canada,0.0282456,101.69,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.5,---,ADM,Archer-Daniels-Midland,0.039832,72.11,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.5,---,LTC,LTC Properties,0.088269,32.54,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.5,---,GD,General Dynamics,0.0110976,258.82,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.9,---,ADP,Automatic Data Processing,0.0123422,232.72,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.9,---,CB,Chubb,0.0126974,226.21,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:53.9,---,KO,Coca-Cola,0.048757,58.91,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:54.6,---,JNJ,Johnson & Johnson,0.0183416,156.6,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:54.7,---,AGNC,AGNC Investment,0.2919,9.84,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:55.4,---,PPG,PPG Industries,0.0191117,150.29,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:55.5,---,BEN,Franklin Resources,0.096224,29.85,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:55.5,---,EMR,Emerson Electric,0.02951,97.33,USD,1.10469,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:55.5,---,SYY,Sysco,0.039212,73.25,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:55.5,---,SHW,Sherwin-Williams,0.0091632,313.46,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.3,---,PEP,PepsiCo,0.0169088,169.87,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.3,---,KMB,Kimberly-Clark,0.0236656,121.37,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.5,---,NUE,Nucor,0.0165198,173.87,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.5,---,ITW,Illinois Tool Works,0.0109425,262.49,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.9,---,PNR,Pentair,0.039481,72.75,USD,1.1047,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:56.9,---,CAH,Cardinal Health,0.0284245,101.05,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:59.9,---,BMO,Bank of Montreal,0.028937,99.26,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:00.3,---,ROP,Roper Technologies,0.0052549,546.59,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:00.9,---,MA,Mastercard,0.0067314,426.7,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:01.0,---,PSEC,Prospect Capital,0.48192,5.96,USD,1.1047,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:01.5,---,MAIN,Main Street Capital,0.06606,43.48,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:01.6,---,ECL,Ecolab,0.0144329,199.01,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:08.5,---,ADC,Agree Realty,0.045469,63.17,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,52:09.9,---,BLK,BlackRock,0.0035298,813.72,USD,1.10471,,EUR,2.6,EUR,,,,,,---,,
Dividend (Dividend),29/12/2023 15:52,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Market buy,53:52.9,---,GWW,WW Grainger,0.0034585,830.5,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Dividend (Dividend),29/12/2023 15:57,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,37.3,GBX,Not available,,,0.05,EUR,0,GBX,,,,,,
Market sell,00:31.9,---,BATS,British American Tobacco,0.27694413,2301,GBX,86.58266,-1.7,EUR,7.35,EUR,,,,,,---,0.01,EUR
Market sell,00:33.9,---,RKT,Reckitt Benckiser,0.12319801,5418,GBX,86.57416,-1.35,EUR,7.7,EUR,,,,,,---,0.01,EUR
Market sell,00:40.0,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,6880,GBX,86.57483,0.3,EUR,9.39,EUR,,,,,,---,0.01,EUR
Market sell,03:00.6,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,73.22,GBP,0.86544,0.2,EUR,9.29,EUR,,,,,,---,0.01,EUR
Market sell,04:06.5,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,44.38,EUR,1,-0.01,EUR,9.1,EUR,,,,,,---,,
Market sell,05:32.5,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,17.29,GBP,0.86494,0.11,EUR,9.2,EUR,,,,,,---,0.01,EUR
Market sell,09:45.4,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,8.88,GBP,0.86464,0.36,EUR,9.45,EUR,,,,,,---,0.01,EUR
Dividend (Dividend),02/01/2024 12:56,---,WMT,Walmart,0.0660707,0.48,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),02/01/2024 13:02,---,ADP,Automatic Data Processing,0.0459818,1.19,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Market sell,30:08.4,---,STAG,STAG Industrial,0.028058,39.09,USD,1.09678,0.09,EUR,1,EUR,,,,,,---,,
Market sell,30:08.9,---,AAPL,Apple,0.0058624,187.09,USD,1.09679,0.07,EUR,1,EUR,,,,,,---,,
Market sell,30:10.6,---,BEN,Franklin Resources,0.045056,29.21,USD,1.09673,0.13,EUR,1.2,EUR,,,,,,---,,
Market sell,30:10.7,---,MAIN,Main Street Capital,0.025359,43.25,USD,1.09677,0.05,EUR,1,EUR,,,,,,---,,
Market sell,30:13.5,---,CNQ,Canadian Natural Resources,0.016774,65.38,USD,1.09668,0.11,EUR,1,EUR,,,,,,---,,
Market sell,30:14.1,---,JPM,JPMorgan Chase & Co,0.0111647,168.96,USD,1.09673,0.26,EUR,1.72,EUR,,,,,,---,,
Market sell,30:15.2,---,EMR,Emerson Electric,0.011364,96.5,USD,1.09662,0.09,EUR,1,EUR,,,,,,---,,
Market sell,30:15.4,---,ADP,Automatic Data Processing,0.0047099,232.87,USD,1.09679,0.06,EUR,1,EUR,,,,,,---,,
Market sell,30:18.3,---,GD,General Dynamics,0.0069727,259.54,USD,1.09678,0.25,EUR,1.65,EUR,,,,,,---,,
Market sell,30:19.5,---,GWW,WW Grainger,0.0018082,818.79,USD,1.09669,0.17,EUR,1.35,EUR,,,,,,---,,
Market sell,30:22.6,---,CAT,Caterpillar,0.0461996,293.8,USD,1.09551,3.29,EUR,12.37,EUR,,,,,,---,0.02,EUR
Market sell,30:22.6,---,BMO,Bank of Montreal,0.011231,97.65,USD,1.0967,0.09,EUR,1,EUR,,,,,,---,,
Market sell,30:24.0,---,CB,Chubb,0.0048537,225.97,USD,1.09679,0.09,EUR,1,EUR,,,,,,---,,
Market sell,30:24.1,---,ITW,Illinois Tool Works,0.0042398,258.69,USD,1.09679,0.08,EUR,1,EUR,,,,,,---,,
Market sell,30:30.8,---,MDT,Medtronic,0.110636,82.11,USD,1.09581,-0.81,EUR,8.28,EUR,,,,,,---,0.01,EUR
Market sell,30:30.8,---,SHW,Sherwin-Williams,0.0094937,303.83,USD,1.09675,0.5,EUR,2.63,EUR,,,,,,---,,
Market sell,30:30.9,---,NUE,Nucor,0.0075873,173.46,USD,1.09674,0.15,EUR,1.2,EUR,,,,,,---,,
Market sell,30:31.0,---,IBM,IBM,0.0165024,162.83,USD,1.09676,0.48,EUR,2.45,EUR,,,,,,---,,
Market sell,30:31.1,---,CAH,Cardinal Health,0.0174982,100.29,USD,1.0968,0.23,EUR,1.6,EUR,,,,,,---,,
Market sell,30:31.2,---,ROP,Roper Technologies,0.0025135,541.06,USD,1.09673,0.15,EUR,1.24,EUR,,,,,,---,,
Market sell,30:32.3,---,AFL,Aflac,0.019141,82.51,USD,1.09675,0.2,EUR,1.44,EUR,,,,,,---,,
Market sell,39:20.0,---,CNQ,Canadian Natural Resources,0.016717,65.65,USD,1.09747,0.11,EUR,1,EUR,,,,,,---,,
Market sell,39:20.1,---,JPM,JPMorgan Chase & Co,0.0064703,169.62,USD,1.09749,0.15,EUR,1,EUR,,,,,,---,,
Market sell,39:20.1,---,GD,General Dynamics,0.0042307,259.41,USD,1.09748,0.15,EUR,1,EUR,,,,,,---,,
Market sell,39:20.1,---,LOW,Lowe's,0.0049647,221.06,USD,1.09749,0.05,EUR,1,EUR,,,,,,---,,
Market sell,39:20.2,---,CAH,Cardinal Health,0.0108641,101.02,USD,1.09749,0.15,EUR,1,EUR,,,,,,---,,
Market sell,39:20.2,---,PPG,PPG Industries,0.0074045,148.22,USD,1.09749,0.04,EUR,1,EUR,,,,,,---,,
Market sell,39:20.2,---,AFL,Aflac,0.013272,82.69,USD,1.09746,0.14,EUR,1,EUR,,,,,,---,,
Market sell,39:20.3,---,IBM,IBM,0.0067409,162.81,USD,1.09748,0.2,EUR,1,EUR,,,,,,---,,
Market sell,39:20.4,---,WMT,Walmart,0.0069238,158.51,USD,1.09749,0.04,EUR,1,EUR,,,,,,---,,
Market sell,39:20.4,---,NUE,Nucor,0.0063143,173.81,USD,1.09748,0.12,EUR,1,EUR,,,,,,---,,
Market sell,39:20.8,---,T,AT&T,0.583802,16.9,USD,1.09625,0.21,EUR,8.99,EUR,,,,,,---,0.01,EUR
Market sell,39:21.0,---,ECL,Ecolab,0.0055713,196.99,USD,1.09749,0.08,EUR,1,EUR,,,,,,---,,
Market buy,44:24.9,---,SLB,Schlumberger,0.197655,52.47,USD,1.09513,,EUR,9.48,EUR,,,,,,---,0.01,EUR
Market buy,44:24.9,---,MSFT,Microsoft,0.0281821,369.94,USD,1.09513,,EUR,9.53,EUR,,,,,,---,0.01,EUR
Market buy,44:25.0,---,KMB,Kimberly-Clark,0.0163036,122.12,USD,1.09395,,EUR,1.82,EUR,,,,,,---,,
Market buy,44:25.1,---,BMY,Bristol-Myers Squibb,0.199614,51.9,USD,1.09513,,EUR,9.47,EUR,,,,,,---,0.01,EUR
Market buy,44:25.2,---,PNR,Pentair,0.145022,71.89,USD,1.09512,,EUR,9.53,EUR,,,,,,---,0.01,EUR
Market buy,44:25.4,---,BLK,BlackRock,0.013003,802.63,USD,1.09513,,EUR,9.54,EUR,,,,,,---,0.01,EUR
Market buy,44:25.4,---,SBUX,Starbucks,0.014656,95.54,USD,1.09393,,EUR,1.28,EUR,,,,,,---,,
Market buy,44:25.5,---,PEP,PepsiCo,0.0092414,170.46,USD,1.09395,,EUR,1.44,EUR,,,,,,---,,
Market buy,44:25.6,---,KO,Coca-Cola,0.17591,59.08,USD,1.09512,,EUR,9.5,EUR,,,,,,---,0.01,EUR
Market buy,44:26.1,---,TD,Toronto-Dominion Bank,0.162596,64.12,USD,1.09513,,EUR,9.53,EUR,,,,,,---,0.01,EUR
Market buy,44:26.4,---,CSCO,Cisco Systems,0.205757,50.51,USD,1.09513,,EUR,9.5,EUR,,,,,,---,0.01,EUR
Market buy,44:27.6,---,GOOD,Gladstone Commercial,0.78224,13.3,USD,1.09513,,EUR,9.51,EUR,,,,,,---,0.01,EUR
Market buy,44:27.7,---,MA,Mastercard,0.0246581,422.81,USD,1.09513,,EUR,9.53,EUR,,,,,,---,0.01,EUR
Deposit,06:21.5,,,,,,,,,,22,EUR,,,,,---,---,,
Dividend (Dividend),03/01/2024 13:46,---,KMB,Kimberly-Clark,0.0689446,1,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Market buy,30:01.2,---,MSFT,Microsoft,0.0029534,369.02,USD,1.08986,,EUR,1,EUR,,,,,,---,,
Market buy,30:01.2,---,SBUX,Starbucks,0.011595,94,USD,1.08993,,EUR,1,EUR,,,,,,---,,
Market buy,30:01.4,---,ADP,Automatic Data Processing,0.0046186,235.98,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:02.1,---,AGNC,AGNC Investment,0.11342,9.61,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:02.9,---,TROW,T Rowe Price,0.0100739,108.2,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:03.3,---,ROP,Roper Technologies,0.0020205,539.45,USD,1.08995,,EUR,1,EUR,,,,,,---,,
Market buy,30:03.8,---,MA,Mastercard,0.0025829,422,USD,1.08998,,EUR,1,EUR,,,,,,---,,
Market buy,30:04.3,---,BNS,Bank of Nova Scotia,0.023068,47.25,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:04.4,---,CB,Chubb,0.0047562,229.17,USD,1.08997,,EUR,1,EUR,,,,,,---,,
Market buy,30:04.9,---,BLK,BlackRock,0.0013647,798.71,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:05.1,---,BMO,Bank of Montreal,0.011201,97.31,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:05.4,---,ADC,Agree Realty,0.017151,63.55,USD,1.08994,,EUR,1,EUR,,,,,,---,,
Market buy,30:05.7,---,NUE,Nucor,0.0062568,174.21,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:05.8,---,STAG,STAG Industrial,0.02765,39.42,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.1,---,GD,General Dynamics,0.0041995,259.55,USD,1.08998,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.2,---,EMR,Emerson Electric,0.011372,95.84,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.3,---,RY,Royal Bank of Canada,0.0108717,100.26,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.4,---,WMT,Walmart,0.0068223,159.77,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.5,---,SYY,Sysco,0.014535,74.99,USD,1.08997,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.5,---,TD,Toronto-Dominion Bank,0.017056,63.9,USD,1.08987,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.6,---,ITW,Illinois Tool Works,0.0041923,260,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:06.9,---,CAH,Cardinal Health,0.0105172,103.63,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:07.0,---,SHW,Sherwin-Williams,0.0035984,302.91,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:07.4,---,BEN,Franklin Resources,0.037482,29.08,USD,1.08997,,EUR,1,EUR,,,,,,---,,
Market buy,30:07.4,---,AFL,Aflac,0.013052,83.5,USD,1.08984,,EUR,1,EUR,,,,,,---,,
Market buy,30:07.5,---,CNQ,Canadian Natural Resources,0.016651,65.46,USD,1.08997,,EUR,1,EUR,,,,,,---,,
Market buy,30:07.9,---,PNR,Pentair,0.015421,70.68,USD,1.08995,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.0,---,AAPL,Apple,0.0059124,184.34,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.0,---,PSEC,Prospect Capital,0.18076,6.03,USD,1.08998,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.7,---,IBM,IBM,0.0067643,161.14,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.7,---,LTC,LTC Properties,0.033621,32.42,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.9,---,ADM,Archer-Daniels-Midland,0.015007,72.63,USD,1.08995,,EUR,1,EUR,,,,,,---,,
Market buy,30:08.9,---,GWW,WW Grainger,0.0013325,818,USD,1.08998,,EUR,1,EUR,,,,,,---,,
Market buy,30:09.6,---,JPM,JPMorgan Chase & Co,0.006344,171.8,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.1,---,BMY,Bristol-Myers Squibb,0.020659,52.76,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.2,---,JNJ,Johnson & Johnson,0.0067611,161.2,USD,1.08988,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.2,---,CSCO,Cisco Systems,0.021726,50.17,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.3,---,MCD,McDonald's,0.0036699,297.01,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.4,---,O,Realty Income,0.018744,58.15,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.6,---,PEP,PepsiCo,0.0062444,174.54,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,30:10.7,---,SLB,Schlumberger,0.021016,51.86,USD,1.08988,,EUR,1,EUR,,,,,,---,,
Market buy,30:11.1,---,KO,Coca-Cola,0.018154,60.04,USD,1.08996,,EUR,1,EUR,,,,,,---,,
Market buy,30:11.2,---,GOOD,Gladstone Commercial,0.082388,13.23,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,30:15.7,---,MAIN,Main Street Capital,0.025045,43.52,USD,1.08995,,EUR,1,EUR,,,,,,---,,
Market buy,30:43.1,---,PG,Procter & Gamble,0.0073167,148.96,USD,1.08989,,EUR,1,EUR,,,,,,---,,
Market buy,31:01.6,---,KMB,Kimberly-Clark,0.0088593,123,USD,1.08969,,EUR,1,EUR,,,,,,---,,
Market buy,31:41.5,---,PPG,PPG Industries,0.0074181,146.95,USD,1.09008,,EUR,1,EUR,,,,,,---,,
Market buy,32:04.0,---,CVX,Chevron,0.0073051,149.21,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Market buy,32:19.7,---,ECL,Ecolab,0.0054584,199.69,USD,1.08998,,EUR,1,EUR,,,,,,---,,
Market buy,33:08.2,---,LOW,Lowe's,0.0050402,216.26,USD,1.08999,,EUR,1,EUR,,,,,,---,,
Dividend (Dividend),05/01/2024 12:01,---,PEP,PepsiCo,0.0519458,1.08,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),05/01/2024 12:07,---,CNQ,Canadian Natural Resources,0.177013,0.64,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividend),10/01/2024 10:55,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividend),10/01/2024 14:40,---,CB,Chubb,0.0499825,0.86,USD,Not available,,,0.04,EUR,0,USD,,,,,,
Dividend (Dividend),11/01/2024 10:10,---,ITW,Illinois Tool Works,0.0427537,1.19,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),12/01/2024 13:07,---,BEN,Franklin Resources,0.491357,0.26,USD,Not available,,,0.12,EUR,0.02,USD,,,,,,
Dividend (Dividend),12/01/2024 13:15,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),12/01/2024 13:25,---,MDT,Medtronic,0.110636,0.52,USD,Not available,,,0.05,EUR,0.02,USD,,,,,,
Dividend (Dividend),15/01/2024 12:33,---,CAH,Cardinal Health,0.121308,0.43,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
